time,id,iq,vd,vq
1733814219491,0,912,63562,12588
1733814219595,0,1228,65039,12755
1733814219699,0,1062,63611,12531
1733814219804,0,1356,175,13216
1733814219906,0,1128,63855,12255
1733814220010,0,1305,63337,13096
1733814220114,0,1272,65053,12707
1733814220218,0,1155,63881,12577
1733814220322,0,1388,64254,12898
1733814220426,0,1079,64423,12037
1733814220530,0,1244,65021,12931
1733814220635,0,1033,63112,11673
1733814220738,0,1365,63938,13079
1733814220841,0,1163,64587,12218
1733814220946,0,1220,63993,12454
1733814221049,0,1414,64899,12665
1733814221154,0,1375,65331,12654
1733814221258,0,1518,63843,13068
1733814221362,0,1471,63672,12673
1733814221466,0,1656,63128,12797
1733814221569,0,1461,63690,12853
1733814221674,0,1613,64285,12773
1733814221778,0,1290,64515,12746
1733814221882,0,1592,64971,12494
1733814221986,0,1410,62025,12789
1733814222089,0,1747,63905,12952
1733814222194,0,1602,62151,13135
1733814222298,0,1533,64760,13074
1733814222402,0,2045,65233,13011
1733814222505,0,1820,64423,13314
1733814222609,0,2162,63688,13142
1733814222714,0,2041,62493,13078
1733814222817,0,2212,64645,13499
1733814222922,0,2354,63813,13568
1733814223026,0,2294,64734,13371
1733814223130,0,2529,64036,13535
1733814223233,0,2415,62378,13171
1733814223338,0,2620,63816,13174
1733814223442,0,2515,63052,12860
1733814223546,0,2642,64087,13614
1733814223649,0,2542,64099,12671
1733814223754,0,2609,64900,13392
1733814223858,0,2645,63343,12874
1733814223962,0,2729,63170,14036
1733814224065,0,2952,64592,13515
1733814224170,0,2944,63395,13380
1733814224273,0,3259,65088,13716
1733814224377,0,3039,63701,13306
1733814224481,0,3396,63268,14141
1733814224585,0,3133,62963,12941
1733814224689,0,3511,63340,13788
1733814224793,0,3962,63626,14201
1733814224898,0,3562,65164,17174
1733814225002,0,3793,63993,14153
1733814225105,0,3554,62451,13100
1733814225210,0,3794,63102,14067
1733814225314,0,3845,63566,13786
1733814225418,0,3781,62600,13099
1733814225521,0,3946,64214,13792
1733814225626,0,3720,64434,13614
1733814225730,0,4009,62907,14213
1733814225834,0,3949,62927,13863
1733814225937,0,4153,63726,14371
1733814226041,0,4596,62816,14512
1733814226145,0,4501,64819,14361
1733814226250,0,4861,63074,14613
1733814226354,0,4941,62423,14667
1733814226458,0,5066,61884,14507
1733814226561,0,4902,63193,14615
1733814226665,0,5094,63343,14423
1733814226769,0,4864,63878,14536
1733814226873,0,5160,64106,14411
1733814226977,0,5033,62107,14476
1733814227082,0,5238,62815,14574
1733814227186,0,5329,63474,14502
1733814227289,0,5017,63830,14950
1733814227393,0,5498,64266,14749
1733814227497,0,5333,63808,14484
1733814227601,0,5536,63559,13861
1733814227706,0,5240,61967,14675
1733814227810,0,5381,63124,14547
1733814227913,0,5178,62719,14219
1733814228017,0,5311,63949,15079
1733814228121,0,5200,63519,14114
1733814228226,0,5270,64121,14804
1733814228330,0,5333,63282,14722
1733814228434,0,5400,63088,15114
1733814228537,0,5528,62608,14590
1733814228641,0,5358,63244,14816
1733814228745,0,5588,63006,15182
1733814228849,0,5192,63049,13296
1733814228953,0,5420,63830,13357
1733814229057,0,5118,63948,14175
1733814229162,0,5398,63101,15076
1733814229265,0,5275,62756,14477
1733814229369,0,5515,63805,15008
1733814229473,0,5347,62844,14973
1733814229577,0,5376,64555,14701
1733814229681,0,5181,63350,14496
1733814229785,0,5578,62884,14825
1733814229889,0,5323,61926,14651
1733814229993,0,5356,62949,14483
1733814230097,0,5551,63652,14720
1733814230201,0,5266,63364,14816
1733814230305,0,5709,64434,14849
1733814230409,0,5380,63675,13782
1733814230513,0,5752,63313,14965
1733814230617,0,5889,61038,15063
1733814230721,0,5854,64240,15475
1733814230825,0,5958,62819,15083
1733814230929,0,5787,64387,15133
1733814231033,0,5643,63361,14653
1733814231137,0,5705,63358,15246
1733814231241,0,5754,60766,16645
1733814231345,0,5583,61985,15049
